Adventure Map,,,,
F-13,Defeat all enemies! Lv.1,not observed,,unknown
F-14,Defeat all Giant Bosses in time! Lv.5,Darunia,,2+
F-15,Defeat the Big Poe Forces!,anyone,,unknown
F-16,Battle across the field!,Ruto,,1
G-1,Defeat all enemies! Lv.7,anyone,,unknown
G-2,Defeat 700 enemies in time! Lv.3,Toon Link,,2+
G-3,Defeat enemies while collecting treasure! Yay!,anyone,,unknown
G-4,Defeat 700 enemies in time! Lv.1,anyone,,2+
G-5,Defeat all Giant Bosses in time! Lv.9,anyone,,2+
G-6,Defeat all enemies! Lv.8,Fi,,1
G-7,Defeat all Giant Bosses in time! Lv.1,anyone,,unknown
G-8,Defeat the Darknut Forces! Lv.1,anyone,,unknown
G-9,Fight as a warrior of water! Lv.1,anyone,,2+
G-10,Defeat all Giant Bosses in time! Lv.2,Lana,,1
G-11,Defeat the commanders of two armies! Lv.1,Impa,,1
G-12,Defeat 800 enemies in time!,anyone,,2+
G-13,Defeat all enemies! Lv.10,anyone,,unknown
G-14,Defeat the forest dragon!,Link,,1
G-15,Fight through the travel memories quiz!,anyone,,unknown
G-16,Watch out for falling artillery fire!,anyone,,2+
H-1,Defeat the enemy forces! Lv.2,Link,,1
H-2,Defeat the commanders of two armies! Lv.3,Zelda,,1
H-3,Defeat all Giant Bosses in time! Lv.10,Skull Kid,,2+
H-4,Fight through the mystery mastery quiz!,anyone,,unknown
H-5,Defeat the wasteland beast!,anyone,,2+
H-6,Fight through the Skyward Sword quiz!,Fi,,1
H-7,Fight as a warrior of light! Lv.1,anyone,,unknown
H-8,Defeat 300 enemies in time!,anyone,,2+
H-9,Duel with the dragon knight!,anyone,,unknown
H-10,Prevent reinforcements from arriving!,Zelda,,2+
H-11,Watch out! All atacks are devastating! Lv.11,anyone,,unknown
H-12,Run swiftly across the battlefield!,anyone,,2+
H-13,Defeat all Giant Bosses in time! Lv.11,anyone,,2+
H-14,Defeat the Shield Moblin Forces! Lv.2,Fi,,1
H-15,Defeat the warriors of Skyloft!,anyone,,unknown
H-16,Watch out! All attacks are devastating! Lv.9,Sheik,,1
Great Sea Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Final battle! Defeat the dragon of the cavern!,Ganondorf,,1
A-2,Final battle! Defeat the bird of the fortress!,anyone,,2+
A-3,Triumph over the trickster ghost gang!,anyone,,unknown
A-4,Defeat the allied keeps! Lv.2,Lana,,2+
A-5,Destroy enemies and traitors alike! Lv.2,anyone,,unknown
A-6,Defeat all Giant Bosses in time! Lv.7,anyone,,2+
A-7,Final battle! Defeat the beast of the temple!,Volga,,1
A-8,Defeat 300 enemies in time! Lv.1,Cia,,2+
A-9,Team up and defeat the enemy forces! Lv.1,anyone,,unknown
A-10,Defeat 400 enemies before the Rogue Forces do! Lv.2,Impa,,2+
A-11,Get to those troops before the others do! Lv.1,Agitha,,1
A-12,Defeat 400 enemies before the Rogue Forces do! Lv.3,Link,,2+
A-13,Win the KO competition! Lv.3,not observed,,unknown
A-14,Defeat the enemy celebrities!,not observed,,unknown
B-1,Lead a raid deep into enemy territory!,anyone,,unknown
B-2,Strengthen your army and defeat the enemy! Lv.2,anyone,,2+
B-3,Defeat the barrier specialist forces! Lv.3,Link,,2+
B-4,Defeat the barrier specialist forces! Lv.4,Fi,,2+
B-5,Strengthen your army and defeat the enemy! Lv.5,anyone,,2+
B-6,Team up and defeat the enemy forces! Lv.5,Midna,,1
B-7,Defeat 400 enemies before the Rogue Forces do! Lv.1,Fi,,2+
B-8,Win the KO Competition! Lv.1,anyone,,2+
B-9,Defeat all Giant Bosses in time! Lv.1,anyone,,2+
B-10,Rack up your KO count! Lv.1,not observed,,unknown
B-11,Defeat all enemies! Lv.1,Tetra,,1
B-12,Win the KO competition! Lv.2,anyone,,2+
B-13,Final battle! Defeat the beast of the volcano!,not observed,,unknown
B-14,Defeat 400 enemies before the Rogue Forces do! Lv.4,not observed,,unknown
C-1,Strengthen your army and defeat the enemy! Lv.3,Link,,2+
C-2,Defeat all Giant Bosses in time! Lv.5,Tetra,,2+
C-3,Win the KO competition! Lv.6,Zant,,2+
C-4,Crush the spirits of these pesky upstarts!,anyone,,unknown
C-5,Prove your worth on Tingle Island!,anyone,,unknown
C-6,Rack up your KO count! Lv.4,Twili Midna,,2+
C-7,Prove you're more than a pip-squeak!,anyone,,unknown
C-8,"Defeat 1,000 enemies before the Rogue Forces do!",King Daphnes,,2+
C-9,Final battle! Defeat the Demon King of the castle!,anyone,,unknown
C-10,Fight through the item master quiz!,anyone,,unknown
C-11,Defeat the barrier specialist forces! Lv.1,not observed,,unknown
C-12,Defeat 300 enemies in time! Lv.2,not observed,,unknown
C-13,Rack up your KO count! Lv.2,not observed,,unknown
C-14,Destroy the army with boosted morale! Lv.1,not observed,,unknown
D-1,Hustle in the east and bustle in the west!,Twili Midna,,1
D-2,Team up and defeat the enemy forces! Lv.3,anyone,,unknown
D-3,Defeat 500 enemies in time! Lv.2,Young Link,,2+
D-4,Fight your way through fire and flames!,anyone,,unknown
D-5,Defeat all Giant Bosses in time! Lv.4,anyone,,2+
D-6,Get to those troops before the others do! Lv.4,Skull Kid,,1
D-7,Win the KO competition! Lv.8,Toon Link,,2+
D-8,Final Battle! Defeat the shadow of the sky!,anyone,,2+
D-9,Have a showdown between hero and imp!,Young Link,,1
D-10,Get to those troops before the others do! Lv.2,Midna,,1
D-11,Defeat 400 enemies before the Rogue Forces do! Lv.5,Ruto,,2+
D-12,Fight through the travel memories quiz! Lv.1,anyone,,unknown
D-13,Defeat 400 enemies in time! Lv.1,anyone,,2+
D-14,Don't leave your troops hanging!,not observed,,unknown
E-1,Pierce through enemy defenses!,Link,,1
E-2,Fight the heroes of the Wind Waker!,anyone,,2+
E-3,Fight through the Majora's Mask quiz!,anyone,,unknown
E-4,Win the KO competition! Lv.7,Wizzro,,2+
E-5,Be courageous and protect your keeps!,anyone,,unknown
E-6,Rack up your KO count! Lv.3,Darunia,,2+
E-7,Fight as a warrior of fire!,anyone,,unknown
E-8,Final battle! Defeat the dragon of the tower!,anyone,,2+
E-9,Defeat all Giant Bosses in time! Lv.8,Ganondorf,,2+
E-10,Defeat the barrier specialist forces! Lv.2,Darunia,,2+
E-11,Defeat 400 enemies in time! Lv.3,Sheik,,2+
E-12,Strengthen your army and defeat the enemy! Lv.1,not observed,,unknown
E-13,Win the KO competition! Lv.4,anyone,,2+
E-14,Defeat all Giant Bosses in time! Lv.2,not observed,,unknown
F-1,Destroy enemies and traitors alike! Lv.1,anyone,,unknown
F-2,Get to those troops before the others do! Lv.5,Ganondorf,,1
F-3,Defeat all Giant Bosses in time! Lv.6,Linkle,,2+
F-4,Fight as a warrior of water!,anyone,,unknown
F-5,Defeat 500 enemies in time! Lv.1,anyone,,2+
F-6,Defeat all enemies! Lv.3,Skull Kid,,1
F-7,Defeat 400 enemies before the Rogue Forces do! Lv.7,anyone,,2+
F-8,Destroy the army with boosted morale! Lv.3,Ghirahim,,1
F-9,Defeat 400 enemies in time! Lv.4,anyone,,2+
F-10,Defeat all enemies! Lv.2,Lana,,1
F-11,Final battle! Defeat the beast of the forest!,anyone,,2+
F-12,Defeat 400 enemies before the Rogue Forces do! Lv.6,anyone,,2+
F-13,Destroy the army with boosted morale! Lv.2,anyone,,unknown
F-14,Trust in your troops' resilience!,not observed,,unknown
G-1,Strengthen your army and defeat the enemy! Lv.4,Link,,2+
G-2,Fight through the travel memories quiz! Lv.2,Agitha,,1
G-3,Best the secretive enemies!,Zelda,,2+
G-4,Team up and defeat the enemy forces! Lv.4,Toon Link,,1
G-5,Final battle! Defeat the dragon of the ruins!,anyone,,2+
G-6,Battle alongside your...twin?,Wizzro,,2+
G-7,Get to those troops before the others do! Lv.3,Zant,,1
G-8,Defeat all Giant Bosses in time! Lv.3,anyone,,2+
G-9,Fight through the Wind Waker quiz!,Young Link,,1
G-10,Win the KO competition! Lv.5,anyone,,2+
G-11,Defeat your enemies...with kindness!,anyone,,2+
G-12,Team up and defeat the enemy forces! Lv.2,anyone,,unknown
G-13,Defeat 400 enemies in time! Lv.2,Skull Kid,,2+
G-14,Defend the allied keeps! Lv.1,not observed,,unknown
Master Quest Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Defeat the Demon King!,anyone,,2+
A-2,Fight through the royalty quiz!,anyone,,unknown
A-3,Dash gallantly into battle!,Darunia,,1
A-4,"Stop the healers from, well, healing!",Lana,Book of Sorcery,1
A-5,Fight through the legendary warrior quiz!,anyone,,unknown
A-6,Destroy enemies and traitors alike! Lv.10,Tingle,,1
A-7,Prevent the sorceress's scheme!,Sheik,,1
A-8,Defeat all enemies! Lv.8,Ganondorf,,1
A-9,Fight as a warrior of water! Lv.2,Link,Great Fairy,1
A-10,Rack up your KO count! Lv.8,Wizzro,,2+
A-11,Destroy enemies and traitors alike! Lv.7,Link,Gauntlets,1
A-12,Defeat the warriors of Twilight!,Ruto,,1
A-13,Defeat all enemies! Lv.3,Zelda,,2+
A-14,Guard the allied keeps with your life! Lv.4,anyone,,unknown
A-15,Defeat the Shield Moblin Forces! Lv.1,Volga,,2+
A-16,Destroy enemies and traitors alike! Lv.5,Twili Midna,,1
B-1,Defeat 700 enemies in time!,anyone,,2+
B-2,Destroy enemies and traitors alike! Lv.8,Cia,,1
B-3,Fight the chosen ones!,Midna,,1
B-4,Destroy the army with boosted morale! Lv.7,Ganondorf,Great Swords,1
B-5,Prevent reinforcements from arriving!,Linkle,,2+
B-6,Run swiftly across the battlefield!,Lana,Spear,1
B-7,Defeat all Giant Bosses in time! Lv.9,anyone,,2+
B-8,Survive the attack of these powered-up enemies!,Link,Magic Rod,1
B-9,Fight through the Triforce quiz!,Ruto,,1
B-10,Defeat the valley beast!,Zelda,Baton,1
B-11,Defeat all Giant Bosses in time! Lv.6,Zant,,2+
B-12,Defeat the mountain beast!,Volga,,1
B-13,Defeat the enemy forces! Lv.1,anyone,,unknown
B-14,Fight as a warrior of lightning! Lv.1,Ghirahim,,2+
B-15,Fight through the Ocarina of Time quiz!,Linkle,,1
B-16,Defeat the warriors of time!,Zelda,Dominion Rod,1
C-1,Defeat 700 enemies in time!,anyone,,2+
C-2,Defeat the enemy forces! Lv.3,Toon Link,,1
C-3,Defeat the enemy forces! Lv.2,anyone,,unknown
C-4,Rack up your KO count! Lv.6,King Daphnes,,2+
C-5,Rescue the allied forces!,Fi,,1
C-6,Watch out! All attacks are devastating! Lv.4,anyone,,unknown
C-7,Guard the allied keeps with your life! Lv.6,anyone,,unknown
C-8,Fight through the mystery mastery quiz!,Young Link,,1
C-9,Destroy the army with boosted morale! Lv.3,Ruto,,1
C-10,Rack up your KO count! Lv.3,anyone,,2+
C-11,Watch out! All attacks are devastating! Lv.2,anyone,,unknown
C-12,Guard the allied keeps with your life! Lv.3,anyone,,unknown
C-13,Defeat all enemies! Lv.1,anyone,,unknown
C-14,Defeat the Big Poe Forces!,Darunia,,1
C-15,Defeat enemies while collecting treasure! Yay!,Ganondorf,Trident,1
C-16,Rack up your KO count! Lv.11,Tetra,,2+
D-1,Defeat the shadow beast!,Ghirahim,,1
D-2,Defend the allied keeps! Lv.1,anyone,,2+
D-3,Defeat all Giant Bosses in time! Lv.8,anyone,,2+
D-4,Defeat all enemies! Lv.4,anyone,,unknown
D-5,Defeat the gulf beast!,Skull Kid,,1
D-6,Destroy enemies and traitors alike! Lv.6,Fi,,1
D-7,Destroy all Giant Bosses in time! Lv.4,anyone,,unknown
D-8,Defeat the island beast!,anyone,,unknown
D-9,Defeat all Giant Bosses in time! Lv.1,anyone,,unknown
D-10,Defeat 600 enemies in time!,anyone,,2+
D-11,Defeat the Darknut Forces!,Zant,,1
D-12,Destroy enemies and traitors alike! Lv.4,Midna,,1
D-13,Defeat the cliff beast!,Link,Epona,2+
D-14,Fight through the tribe quiz!,anyone,,2+
D-15,Capture the enemy keeps! Lv.3,Agitha,,1
D-16,Take on the sword masters!,Lana,Summoning Gate,1
E-1,Watch out! All attacks are devastating! Lv.6,anyone,,unknown
E-2,Capture the enemy keeps! Lv.1,Lana,,1
E-3,Capture the enemy keeps! Lv.2,Impa,Giant Blade,1
E-4,Defeat 800 enemies in time!,anyone,,2+
E-5,Watch out! All attacks are devastating! Lv.5,anyone,,unknown
E-6,Defeat the ocean beast!,Fi,,1
E-7,Destroy the army with boosted morale! Lv.2,Impa,,1
E-8,Guard the allied keeps with your life! Lv.2,anyone,,unknown
E-9,Watch out! All attacks are devastating! Lv.1,anyone,,unknown
E-10,Rack up your KO count! Lv.5,anyone,,2+
E-11,Fight through the Twilight Princess Quiz!,anyone,,unknown
E-12,Defeat all enemies! Lv.2,anyone,,2+
E-13,Defeat 500 enemies in time!,anyone,,2+
E-14,Destroy enemies and traitors alike! Lv.3,Twili Midna,,2+
E-15,Fight through the tricky quiz!,anyone,,unknown
E-16,Defeat all enemies! Lv.7,anyone,,unknown
F-1,Defeat all enemies! Lv.5,anyone,,unknown
F-2,Destroy the army with boosted morale! Lv.6,Tetra,,1
F-3,Watch out! All attacks are devastating! Lv.9,Ganondorf,,1
F-4,Defeat all enemies! Lv.6,Zelda,,1
F-5,Fight as a warrior of darkness! Lv.1,Cia,,1
F-6,Defeat all Giant Bosses in time! Lv.3,Ruto,,2+
F-7,Destroy enemies and traitors alike! Lv.2,anyone,,unknown
F-8,Rack up your KO count! Lv.2,Lana,,2+
F-9,Guard the allied keeps with your life! Lv.1,anyone,,unknown
F-10,Defeat all Giant Bosses in time! Lv.5,Zant,,2+
F-11,Guard the allied keeps with your life! Lv.5,Agitha,,1
F-12,Defeat the Dinolfos Forces!,Link,,1
F-13,Watch out! All attacks are devastating! Lv.3,anyone,,unknown
F-14,Fight through the action quiz!,Link,,2+
F-15,Fight as a warrior of lightning! Lv.2,Link,Spinner,1
F-16,Defeat all Giant Bosses in time! Lv.11,Ganondorf,,2+
G-1,Rack up your KO count! Lv.7,anyone,,2+
G-2,Guard the allied keeps with your life! Lv.8,Toon Link,,1
G-3,Battle across the field!,Lana,,1
G-4,Rack up your KO count! Lv.10,anyone,,2+
G-5,Defend the allied keeps! Lv.2,Zelda,Baton,2+
G-6,Destroy enemies and traitors alike! Lv.9,Impa,Giant Blade,1
G-7,Defeat all Giant Bosses in time! Lv.2,Lana,,2+
G-8,Destroy the army with boosted morale! Lv.1,anyone,,unknown
G-9,Defeat the commanders of two armies!,anyone,,unknown
G-10,Fight as a warrior of light!,Agitha,,1
G-11,Rack up your KO count! Lv.4,Tingle,,2+
G-12,Fight through the women's weapons quiz!,Zelda,,1
G-13,Defeat the forest dragon!,Volga,,1
G-14,Guard the allied keeps with your life! Lv.9,anyone,,2+
G-15,Defeat the enemy forces! Lv.4,Fi,,1
G-16,Watch out for falling artillery fire!,Zant,,2+
H-1,Rack up your KO count! Lv.12,Skull Kid,,2+
H-2,Fight as a warrior of darkness! Lv.2,Young Link,,1
H-3,Attack the Festival of Cuccos!,King Daphnes,,1
H-4,Watch out! All attacks are devastating! Lv.8,anyone,,unknown
H-5,Defeat all Giant Bosses in time! Lv.10,anyone,,2+
H-6,Destroy the army with boosted morale! Lv.4,Link,Hylian Sword,1
H-7,Fight as a warrior of water! Lv.1,anyone,,2+
H-8,Rack up your KO count! Lv.1,anyone,,2+
H-9,Destroy enemies and traitors alike! Lv.1,anyone,,unknown
H-10,Defeat the warriors of Skyloft!,Zelda,,1
H-11,Destroy the army with boosted morale! Lv.5,anyone,,unknown
H-12,Defeat the Shield Moblin Forces! Lv.2,Twili Midna,,1
H-13,Watch out! All attacks are devastating! Lv.7,anyone,,unknown
H-14,Guard the allied keeps with your life! Lv.7,anyone,,unknown
H-15,Defeat all Giant Bosses in time! Lv.7,Cia,,2+
H-16,Rack up your KO count! Lv.9,anyone,,2+
Master Wind Waker Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Don't leave your troops hanging!,Volga,,2+
A-2,Send the ghosts packing!,Darunia,,2+
A-3,Trounce the champions of the sky!,Volga,,1
A-4,The Cucco army rises once more!,King Daphnes,,1
A-5,Team up and defeat the enemy forces! Lv.5,anyone,,unknown
A-6,Battle across the field!,Zelda,,1
A-7,Watch out for falling artillery fire!,Ganondorf,Trident,1
A-8,Fight through the hometown quiz!,anyone,,unknown
A-9,Final battle! Defeat the beast of Crescent Moon Island!,anyone,,2+
A-10,Defeat all enemies! Lv.3,anyone,,unknown
A-11,Put an end to the enemy's divisibe plan! Lv.5,anyone,,unknown
A-12,A distant voice cries out for help!,Ganondorf,Trident,2+
A-13,Rack up your KO count! Lv.4,anyone,,2+
A-14,Defeat the enemy celebrities!,anyone,,2+
B-1,Fight your way through fire and flames!,Ganondorf,Great Swords,2+
B-2,Protect the Bombchus! Lv.2,Zelda,,1
B-3,Trust in your troops' resilience!,Impa,,2+
B-4,Rack up your KO count! Lv.2,anyone,,2+
B-5,Defeat all Giant Bosses in time! Lv.1,anyone,,2+
B-6,Final battle! Defeat the beast of the bay!,anyone,,2+
B-7,Help fight fire with fire!,anyone,,unknown
B-8,It's royalty's time to take the spotlight!,anyone,,unknown
B-9,Watch out! All attacks are devastating! Lv.4,Twili Midna,,1
B-10,Defeat all Giant Bosses in time! Lv.2,anyone,,2+
B-11,Defeat the Wizard Forces!,Ganondorf,,1
B-12,Team up and defeat the enemy forces! Lv.6,Medli,,1
B-13,Fight alongside the women of the battlefield!,Medli,,1
B-14,Confronting the opposing sorceress!,Zelda,,2+
C-1,Rack up your KO count! Lv.6,anyone,,2+
C-2,Turn the tables on the assassin!,anyone,,unknown
C-3,Watch out! All attacks are devastating! Lv.1,anyone,,unknown
C-4,Learn the key to a balanced attack! Lv.2,Darunia,,1
C-5,Win the Rupee competition! Lv.2,anyone,,2+
C-6,Defeat 700 enemies before the Rogue Forces do!,anyone,,2+
C-7,Team up and defeat the enemy forces! Lv.7,anyone,,unknown
C-8,"Defeat 1,000 enemies before the Rogue Forces do! Lv.2",anyone,,2+
C-9,Fight the heroes of the Wind Waker!,anyone,,unknown
C-10,Learn the key to a balanced attack! Lv.3,anyone,,unknown
C-11,"Defeat 1,000 enemies before the Rogue Forces do! Lv.1",anyone,,2+
C-12,Put an end to the enemy's divisive plan! Lv.4,anyone,,unknown
C-13,Fight through the action quiz!,anyone,,unknown
C-14,Final battle! Defeat the beast of Star Belt Archipelago!,Zant,,1
D-1,Learn the key to a balanced attack! Lv.1,anyone,,unknown
D-2,Team up and defeat the enemy forces! Lv.2,anyone,,unknown
D-3,Final battle! Defeat the beast of west Greatfish Isle!,Wizzro,,2+
D-4,Final battle! Defeat the beast of Greatfish Isle!,Medli,,2+
D-5,Calm dissenters and crush your foe!,Skull Kid,,1
D-6,Put an end to the enemy's divisive plan! Lv.2,anyone,,unknown
D-7,Run swiftly across the battlefield!,anyone,,2+
D-8,"Will you fall, or will you bloom?",anyone,,2+
D-9,It's curtain call for Medli's band!,Cia,,1
D-10,Best the secretive enemies!,Impa,,2+
D-11,Guard the allied keeps with your life! Lv.2,anyone,,unknown
D-12,"Lurking treachery, lurking shadows!",anyone,,2+
D-13,Defeat the summoners before it's too late!,Ghirahim,,2+
D-14,Rack up your KO count! Lv.5,anyone,,2+
E-1,Defeat your enemies...with kindness!,Linkle,,2+
E-2,Put an end to the enemy's divisive plan! Lv.1,Lana,,1
E-3,Win the Rupee competition! Lv.1,anyone,,2+
E-4,Fight through the forgetful foe quiz!,anyone,,unknown
E-5,Defeat all enemies! Lv.1,Agitha,,1
E-6,Watch out! All attacks are devastating! Lv.2,anyone,,unknown
E-7,Win the Rupee competition! Lv.5,anyone,,2+
E-8,Defeat all Giant Bosses in time! Lv.3,Tetra,,2+
E-9,A leader never sleeps!,Linkle,,2+
E-10,Stand united! Join forces on the front line!,Zelda,,1
E-11,Final battle! Defeat the beast of Bomb Island!,Linkle,,1
E-12,Enjoy a leisurely Cucco-outing!,Zelda,,2+
E-13,Watch out! All attacks are devastating! Lv.3,anyone,,unknown
E-14,Defeat those who would borrow a weapon!,Link,,2+
F-1,Rack up your KO count! Lv.1,anyone,,2+
F-2,Final Battle! Defeat the beast of Diamond Steppe Island!,anyone,,unknown
F-3,Hustle in the east and bustle in the west!,anyone,,2+
F-4,Those birds are so soft! Do we really need to fight?,not observed,,unknown
F-5,Claim revenge against your foes!,anyone,,unknown
F-6,Team up and defeat the enemy forces! Lv.3,Midna,,1
F-7,Defeat all enemies! Lv.2,anyone,,unknown
F-8,Yesterday's foes are today's allies!,Fi,,2+
F-9,Guard the allied keeps with your life! Lv.1,anyone,,unknown
F-10,The hero and the sage back each other up!,Ghirahim,,1
F-11,Attend the Festival of Cuccos!,Medli,,2+
F-12,Put an end to the enemy's divisive plan! Lv.3,anyone,,unknown
F-13,Team up and defeat the enemy forces! Lv.4,Fi,,1
F-14,Win the Rupee competition! Lv.4,anyone,,2+
G-1,Team up and defeat the enemy forces! Lv.1,anyone,,unknown
G-2,Join the Rogue Forces to defeat the enemy!,anyone,,2+
G-3,Defeat 400 enemies before the Rogue Forces do!,anyone,,2+
G-4,Final battle! Defeat the beast of Outset Island!,Agitha,,1
G-5,Stop the fortifiers and barrier specialists!,Wizzro,,1
G-6,Stamp out the enemy bosses!,Tingle,,1
G-7,Grow your forces and face your foes!,anyone,,2+
G-8,Fight through the travel memories quiz!,anyone,,unknown
G-9,Pierce through enemy defenses,anyone,,2+
G-10,Rack up your KO count! Lv.3,anyone,,2+
G-11,Win the Rupee competition! Lv.3,anyone,,2+
G-12,Protect the Bombchu! Lv.3,anyone,,unknown
G-13,Final battle! Defeat the beast of the Five-Star Isles!,anyone,,unknown
G-14,Defeat your enemies...with kindness!,Fi,,2+
Twilight Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-3,Use a Magic Circle to defeat the enemy forces! Lv.2,Zant,,1
A-4,Rack up your KO count! Lv.3,anyone,,2+
A-5,Defeat the beast of the ruins!,Ghirahim or Toon Link,,2+
A-6,Defeat the summoners before it's too late!,Link,,2+
A-7,Final battle! Defeat the beast of the palace!,Tingle,,1
A-8,Strengthen your army and defeat the enemy!,anyone,,2+
A-9,Final battle! Defeat the desert dragon!,Lana,Book of Sorcery,1
A-10,Protect the Bombchu! Lv.5,Agitha or Link,,1
A-11,Look for a solution!,Agitha,,1
B-1,Fight as a warrior of light! Lv.1,Agitha or Zant,,2+
B-2,Watch for traps on the battlefield!,Midna,,2+
B-3,Defeat the Darknut Forces!,anyone,,2+
